UF_CRM_1712733610	DEAL	string	—
UF_CRM_1718358123	DEAL	string	—
UF_CRM_1718618351	DEAL	string	—
UF_CRM_1718919216	DEAL	string	—
UF_CRM_1721129282	DEAL	string	—
UF_CRM_1722231570	DEAL	string	—
UF_CRM_1722231741	DEAL	string	—
UF_CRM_1722231954	DEAL	string	—
UF_CRM_1722232687	DEAL	money	Сумма сотрудничества (портрет)
UF_CRM_1722233695	DEAL	string	—
UF_CRM_1722246835	DEAL	string	—
UF_CRM_1722839839	DEAL	string	—
UF_CRM_1722839884	DEAL	string	—
UF_CRM_1722839925	DEAL	string	—
UF_CRM_1722839965	DEAL	string	—
UF_CRM_1722840010	DEAL	string	—
UF_CRM_1722840057	DEAL	string	—
UF_CRM_1722840095	DEAL	string	—
UF_CRM_1722840150	DEAL	string	—
UF_CRM_1722840210	DEAL	string	—
UF_CRM_1722843190	DEAL	enumeration	Срок взноса (портрет)
UF_CRM_1722851893	DEAL	string	—
UF_CRM_1722855061	DEAL	string	—
UF_CRM_1722938526204	DEAL	enumeration	Тип документа (портрет)
UF_CRM_1722939499	DEAL	string	—
UF_CRM_1722941445	DEAL	string	Сбер (портрет)
UF_CRM_1723030206	DEAL	string	—
UF_CRM_1723199854315	DEAL	string	—
UF_CRM_1723456654	DEAL	string	—
UF_CRM_1723528988	DEAL	string	—
UF_CRM_1723532204	DEAL	string	—
UF_CRM_1723613436	DEAL	string	—
UF_CRM_1724149252	DEAL	string	—
UF_CRM_1726038020	DEAL	string	—
UF_CRM_1732790138	DEAL	string	—
UF_CRM_1732790183	DEAL	string	—
UF_CRM_1733208845253	DEAL	string	—
UF_CRM_1739347967	DEAL	string	—
UF_CRM_1739351362	DEAL	enumeration	Комнатность
UF_CRM_1739353069	DEAL	string	—
UF_CRM_1739357026	DEAL	string	ID помещения (Шахматка)
UF_CRM_1741592250	DEAL	string	—
UF_CRM_1742989121	DEAL	string	—
UF_CRM_1742989123	DEAL	string	—
UF_CRM_1744779334	DEAL	string	—
UF_CRM_1749018147	DEAL	string	—
UF_CRM_1753075344	DEAL	string	—
UF_CRM_1753865705041	DEAL	enumeration	Признак в заявке
UF_CRM_1754367756909	DEAL	string	—
UF_CRM_1754975401369	DEAL	string	—
UF_CRM_1756207944	DEAL	string	—
UF_CRM_1773990099	DEAL	string	—
UF_CRM_1776852546752	DEAL	string	—
UF_CRM_1776852774142	DEAL	string	—
UF_CRM_1776855310914	DEAL	string	—
UF_CRM_1776855355606	DEAL	string	—
UF_CRM_1776855427146	DEAL	string	—
UF_CRM_1777023001835	DEAL	string	—
UF_CRM_1777023476482	DEAL	string	—
UF_CRM_1777024041	DEAL	string	—
UF_CRM_1777024041_DFS_HISTORY	DEAL	string	—
UF_CRM_1778581864832	DEAL	string	—
UF_CRM_1781503203212	DEAL	string	—
UF_CRM_1782215619343	DEAL	string	—
UF_CRM_1782216309667	DEAL	string	—
UF_CRM_1782815976	DEAL	string	—
UF_CRM_1782816044	DEAL	string	—
UF_CRM_1782816883	DEAL	string	—
UF_CRM_1782816939	DEAL	string	—
UF_CRM_1782816991	DEAL	string	—
UF_CRM_1782817037	DEAL	string	—
UF_CRM_1782817073	DEAL	string	—
UF_CRM_1782817098	DEAL	string	—
UF_CRM_1782817120	DEAL	string	—
UF_CRM_1782817166	DEAL	string	—
UF_CRM_1782817206	DEAL	string	—
UF_CRM_1782817257	DEAL	string	—
UF_CRM_1782817274	DEAL	string	—
UF_CRM_1782817308	DEAL	string	—
UF_CRM_1782817348	DEAL	string	—
UF_CRM_1782817363	DEAL	string	—
UF_CRM_1782817414	DEAL	string	—
UF_CRM_59AD381C02DA7	DEAL	string	—
UF_CRM_59AD381C0E4F4	DEAL	string	—
UF_CRM_59AD381C17977	DEAL	string	—
UF_CRM_59AD381C55CB4	DEAL	string	—
UF_CRM_59AD381C5F366	DEAL	string	—
UF_CRM_59AD381C64BD1	DEAL	string	—
UF_CRM_5A55BEC3DB9F3	DEAL	string	—
UF_CRM_5A7BF679EF9BA	DEAL	string	—
UF_CRM_5A7BF67A75A3A	DEAL	string	—
UF_CRM_5A7BF67A93FBD	DEAL	string	—
UF_CRM_5A7BF67AB2112	DEAL	string	—
UF_CRM_5AF52F901BA31	DEAL	string	—
UF_CRM_5AF52F90344E1	DEAL	string	—
UF_CRM_5B0BE49D5FE85	DEAL	string	—
UF_CRM_5B35C61C1F97A	DEAL	string	—
UF_CRM_5B35C61C2D443	DEAL	string	—
UF_CRM_5B35C61C38E90	DEAL	string	—
UF_CRM_5B88EF0C7B988	DEAL	string	—
UF_CRM_5B88F240415C2	DEAL	string	—
UF_CRM_5B88F2405FA44	DEAL	string	—
UF_CRM_5B88F240A7D38	DEAL	string	—
UF_CRM_5B88F2412EF8F	DEAL	string	—
UF_CRM_5B88F241DAF82	DEAL	string	—
UF_CRM_5B88F2420C988	DEAL	string	—
UF_CRM_5B88F24233C81	DEAL	string	—
UF_CRM_5B892F99B498A	DEAL	string	—
UF_CRM_5B892F99CA7B0	DEAL	string	—
UF_CRM_5B892F99DAE2C	DEAL	string	—
UF_CRM_5B892F99EAA0F	DEAL	string	—
UF_CRM_5B892F9A058AF	DEAL	string	—
UF_CRM_5B892F9A1430D	DEAL	string	—
UF_CRM_5B892F9A24C45	DEAL	string	—
UF_CRM_5B892F9A31BCD	DEAL	string	—
UF_CRM_5B892F9A3F560	DEAL	string	—
UF_CRM_5B892F9A561DA	DEAL	string	—
UF_CRM_5B892F9A69CFA	DEAL	string	—
UF_CRM_5B892F9A82FBF	DEAL	string	—
UF_CRM_5B892F9A95961	DEAL	string	—
UF_CRM_5B892F9AA80FB	DEAL	string	—
UF_CRM_5B892F9ABA199	DEAL	string	—
UF_CRM_5B892F9ACD049	DEAL	string	—
UF_CRM_5B892F9AE525F	DEAL	string	—
UF_CRM_5B892F9B00E83	DEAL	string	—
UF_CRM_5B892F9B123D5	DEAL	string	—
UF_CRM_5B892F9B298E8	DEAL	string	—
UF_CRM_5B892F9B3C55F	DEAL	string	—
UF_CRM_5B892F9B4E557	DEAL	string	—
UF_CRM_5B892F9B605A9	DEAL	string	—
UF_CRM_5B892F9B75F69	DEAL	string	—
UF_CRM_5B892F9B8944A	DEAL	string	—
UF_CRM_5B892F9B9C80B	DEAL	string	—
UF_CRM_5B892F9BB48EE	DEAL	string	—
UF_CRM_5B892F9BCA231	DEAL	string	—
UF_CRM_5B892F9BE3413	DEAL	string	—
UF_CRM_5B892F9C04969	DEAL	string	—
UF_CRM_5B892F9C1C4A1	DEAL	string	—
UF_CRM_5B892F9C32D14	DEAL	string	—
UF_CRM_5B892F9C45291	DEAL	string	—
UF_CRM_5B892F9C65188	DEAL	string	—
UF_CRM_5B892F9C7C5C8	DEAL	string	—
UF_CRM_5B892F9C937FC	DEAL	string	—
UF_CRM_5B892F9CAC248	DEAL	string	—
UF_CRM_5B892F9CC360B	DEAL	string	—
UF_CRM_5B892F9CD9383	DEAL	string	—
UF_CRM_5B892F9CF0C95	DEAL	string	—
UF_CRM_5B892F9D151AE	DEAL	string	—
UF_CRM_5B892F9D2C698	DEAL	string	—
UF_CRM_5B892F9D43B49	DEAL	string	—
UF_CRM_5B892F9D5A667	DEAL	string	—
UF_CRM_5B892F9D73482	DEAL	string	—
UF_CRM_5B892F9D8A216	DEAL	string	—
UF_CRM_5B892F9DA4ACF	DEAL	string	—
UF_CRM_5B892F9DBE7A8	DEAL	string	—
UF_CRM_5B892F9DD8C3A	DEAL	string	—
UF_CRM_5B892F9E01AD3	DEAL	string	—
UF_CRM_5B892F9E1A53D	DEAL	string	—
UF_CRM_5B892F9E35FCA	DEAL	string	—
UF_CRM_5B892F9E579BD	DEAL	string	—
UF_CRM_5B892F9E78694	DEAL	string	—
UF_CRM_5B892F9E9FC6F	DEAL	string	—
UF_CRM_5B892F9EC0EA0	DEAL	string	—
UF_CRM_5B892F9EE1B2D	DEAL	string	—
UF_CRM_5B892F9F090D4	DEAL	string	—
UF_CRM_5B892F9F308E7	DEAL	string	—
UF_CRM_5B892F9F507B4	DEAL	string	—
UF_CRM_5B892F9F717E1	DEAL	string	—
UF_CRM_5B892F9F95A94	DEAL	string	—
UF_CRM_5B892F9FB97FD	DEAL	string	—
UF_CRM_5B892F9FDC10D	DEAL	string	—
UF_CRM_5B892FA008518	DEAL	string	—
UF_CRM_5B892FA034582	DEAL	string	—
UF_CRM_5B892FA0748D7	DEAL	string	—
